teamAbbr,League,Score,isHomeTeam,atBats,Hits,Doubles,Triples,homeRuns,RBI,Walks,Strikeouts,LOB,pitchersUsed,indER,teamER,Errors,battingAverage,OBP,Slugging,OPS,Win,wonPrev
ARI,NL,6,1,33,8,0,0,2,6,3,8,6,3,3,3,0,0.24242424242424246,0.3055555555555556,0.42424242424242425,0.7297979797979799,1.0,
ARI,NL,3,1,34,7,1,0,0,3,5,8,9,6,6,6,0,0.2058823529411765,0.3076923076923077,0.2352941176470588,0.5429864253393666,0.0,1.0
ARI,NL,5,1,31,9,1,0,4,5,1,8,3,6,3,3,1,0.2903225806451613,0.3125,0.7096774193548387,1.0221774193548387,1.0,0.0
ARI,NL,9,1,36,14,2,0,1,9,2,8,6,4,1,1,0,0.3888888888888889,0.4358974358974359,0.5277777777777778,0.9636752136752136,1.0,1.0
ARI,NL,3,1,29,5,2,0,1,3,4,5,4,4,5,5,1,0.1724137931034483,0.2647058823529412,0.3448275862068966,0.6095334685598377,0.0,1.0
ARI,NL,15,1,37,12,1,1,4,14,6,7,4,4,6,6,0,0.32432432432432434,0.4186046511627907,0.7297297297297297,1.1483343808925204,1.0,0.0
ARI,NL,5,0,34,8,2,0,1,5,7,10,10,5,9,9,0,0.2352941176470588,0.3809523809523809,0.38235294117647056,0.7633053221288515,0.0,1.0
ARI,NL,9,0,42,14,5,0,2,9,9,9,12,8,6,6,2,0.3333333333333333,0.4259259259259259,0.5952380952380952,1.0211640211640212,1.0,0.0
ARI,NL,5,0,40,12,3,0,1,4,2,8,9,5,6,6,2,0.3,0.3333333333333333,0.45,0.7833333333333333,0.0,1.0
ARI,NL,3,0,30,3,1,0,0,3,5,7,5,4,6,6,0,0.1,0.22857142857142854,0.13333333333333333,0.3619047619047619,0.0,0.0
ARI,NL,0,0,31,4,1,0,0,0,2,13,6,4,5,5,0,0.12903225806451613,0.18181818181818185,0.16129032258064516,0.34310850439882695,0.0,0.0
ARI,NL,3,0,35,10,1,0,1,3,2,11,7,5,4,4,1,0.2857142857142857,0.32432432432432434,0.4,0.7243243243243244,0.0,0.0
ARI,NL,2,1,36,10,3,0,0,2,1,7,8,3,3,3,2,0.2777777777777778,0.2972972972972973,0.3611111111111111,0.6584084084084084,0.0,0.0
ARI,NL,9,1,38,15,5,0,1,9,7,5,13,3,7,7,0,0.3947368421052632,0.5,0.6052631578947368,1.1052631578947367,1.0,0.0
ARI,NL,4,1,32,7,4,0,0,3,4,14,5,3,9,9,1,0.21875,0.3055555555555556,0.34375,0.6493055555555556,0.0,1.0
ARI,NL,7,1,33,10,0,0,5,7,3,9,5,5,3,3,1,0.30303030303030304,0.3611111111111111,0.7575757575757576,1.1186868686868687,1.0,0.0
ARI,NL,2,1,33,8,1,0,1,2,2,12,7,2,3,3,0,0.24242424242424246,0.2857142857142857,0.3636363636363637,0.6493506493506493,0.0,1.0
ARI,NL,8,1,37,15,6,1,2,8,6,4,11,4,6,6,1,0.40540540540540543,0.4883720930232558,0.7837837837837838,1.2721558768070396,1.0,0.0
ARI,NL,5,0,33,7,2,0,1,5,3,9,5,2,3,3,1,0.21212121212121213,0.2702702702702703,0.3636363636363637,0.6339066339066339,1.0,1.0
ARI,NL,1,0,32,5,1,0,0,1,3,9,7,4,12,12,0,0.15625,0.22857142857142854,0.1875,0.4160714285714285,0.0,1.0
ARI,NL,12,0,40,12,5,0,2,12,8,8,8,6,11,11,0,0.3,0.42857142857142855,0.575,1.0035714285714286,1.0,0.0
ARI,NL,13,0,41,14,2,0,4,13,3,11,5,2,4,4,1,0.3414634146341464,0.37777777777777777,0.6829268292682927,1.0607046070460706,1.0,1.0
ARI,NL,5,0,38,11,5,0,1,5,1,14,7,4,7,7,3,0.2894736842105263,0.3076923076923077,0.5,0.8076923076923077,0.0,1.0
ARI,NL,5,0,35,10,1,0,3,4,6,12,9,3,7,7,2,0.2857142857142857,0.3902439024390244,0.5714285714285714,0.9616724738675958,0.0,0.0
ARI,NL,5,0,36,10,2,1,1,5,5,12,9,4,10,10,0,0.2777777777777778,0.36585365853658536,0.4722222222222222,0.8380758807588076,0.0,0.0
ARI,NL,9,0,38,12,2,0,1,9,6,10,9,4,1,1,0,0.3157894736842105,0.4222222222222222,0.4473684210526316,0.8695906432748538,1.0,0.0
ARI,NL,1,0,31,5,1,0,1,1,3,8,6,3,0,0,0,0.16129032258064516,0.2352941176470588,0.2903225806451613,0.5256166982922201,1.0,1.0
ARI,NL,2,0,33,8,4,1,0,2,3,6,8,3,4,4,1,0.24242424242424246,0.3055555555555556,0.42424242424242425,0.7297979797979799,0.0,1.0
ARI,NL,6,0,36,13,2,1,1,6,2,8,7,1,2,2,1,0.3611111111111111,0.4,0.5555555555555556,0.9555555555555556,1.0,0.0
ARI,NL,2,1,28,4,0,0,1,2,6,11,6,3,3,3,0,0.14285714285714285,0.29411764705882354,0.25,0.5441176470588236,0.0,1.0
ARI,NL,3,1,32,6,2,0,1,3,4,8,6,6,12,12,2,0.1875,0.2777777777777778,0.34375,0.6215277777777778,0.0,0.0
ARI,NL,1,1,32,8,1,0,0,1,4,10,8,4,6,6,0,0.25,0.3333333333333333,0.28125,0.6145833333333333,0.0,0.0
ARI,NL,3,1,30,4,2,0,1,3,6,12,6,3,7,7,0,0.13333333333333333,0.2777777777777778,0.3,0.5777777777777777,0.0,0.0
