Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
20100405,CHN,NL,1,ATL,NL,1,5,16,51,ATL02,53081,30,5,1,0,2,5,0,0,0,3,0,7,0,0,0,0,1,6,14,14,0,0,24,8,2,0,0,0,35,12,1,1,2,14,2,0,1,8,0,8,1,0,0,0,6,4,5,5,0,0,27,13,0,0,2,0,lowed001,zambc001,,zambc001,lowed001,,0.16666666666666666,0.34285714285714286,0.24242424242424243,0.4772727272727273,0.4,0.6,0.6424242424242425,1.0772727272727272,0.0,
20100407,CHN,NL,2,ATL,NL,2,2,3,51,ATL02,36170,31,7,1,0,0,1,0,1,0,3,0,7,1,0,2,0,6,4,3,3,0,0,24,8,0,0,0,0,29,5,2,0,1,3,0,0,1,2,1,12,1,0,0,0,5,4,0,0,0,0,27,8,1,0,3,0,moylp001,grabj002,wagnb001,dempr002,jurrj001,,0.22580645161290322,0.1724137931034483,0.2857142857142857,0.25,0.25806451612903225,0.3448275862068966,0.543778801843318,0.5948275862068966,0.0,0.0
20100408,CHN,NL,3,ATL,NL,3,2,0,54,ATL02,27443,30,4,0,0,2,2,1,0,0,3,0,9,0,0,0,0,5,5,0,0,0,0,27,15,1,0,3,0,33,8,1,0,0,0,0,0,0,4,0,4,0,0,3,0,10,3,2,2,0,0,27,4,0,0,0,0,wellr001,hanst001,marmc001,wellr001,hanst001,,0.13333333333333333,0.24242424242424243,0.21212121212121213,0.32432432432432434,0.3333333333333333,0.2727272727272727,0.5454545454545454,0.597051597051597,1.0,0.0
20100409,CHN,NL,4,CIN,NL,4,4,5,51,CIN09,24419,36,11,0,0,1,4,2,1,3,2,0,7,0,0,0,0,13,3,5,5,0,0,24,9,0,0,0,0,28,5,1,1,1,5,0,1,0,2,0,4,0,0,0,0,2,3,4,4,2,1,27,9,2,0,0,0,owinm001,carie001,cordf002,silvc001,bailh001,,0.3055555555555556,0.17857142857142858,0.38095238095238093,0.22580645161290322,0.3888888888888889,0.39285714285714285,0.7698412698412698,0.618663594470046,0.0,1.0
20100410,CHN,NL,5,CIN,NL,5,4,3,54,CIN09,27235,30,5,0,0,3,4,0,0,0,1,0,8,0,1,0,0,0,3,3,3,1,0,27,11,1,0,1,0,32,7,1,0,1,3,1,0,0,2,0,13,0,1,1,0,5,3,4,4,1,0,27,10,0,0,0,0,zambc001,rhoda001,marmc001,zambc001,haraa001,,0.16666666666666666,0.21875,0.1935483870967742,0.2647058823529412,0.4666666666666667,0.34375,0.6602150537634408,0.6084558823529411,1.0,0.0
20100411,CHN,NL,6,CIN,NL,6,1,3,51,CIN09,26945,31,5,1,0,0,1,1,0,0,8,0,9,0,0,0,0,12,5,2,2,0,0,24,8,1,0,0,0,30,7,0,0,0,3,0,1,0,4,0,10,2,1,0,0,8,4,1,1,2,0,27,7,0,0,0,0,massn001,grabj002,cordf002,gorzt001,leakm001,,0.16129032258064516,0.23333333333333334,0.3333333333333333,0.3142857142857143,0.1935483870967742,0.23333333333333334,0.5268817204301075,0.5476190476190477,0.0,1.0
20100412,MIL,NL,7,CHN,NL,7,5,9,51,CHI11,41306,32,8,2,1,1,5,0,0,1,5,0,8,0,1,1,0,6,5,8,8,0,0,24,13,1,0,1,0,36,13,1,0,3,9,1,0,0,3,0,10,4,0,0,0,7,4,5,5,0,0,27,11,0,0,2,0,dempr002,david002,,david002,dempr002,,0.25,0.3611111111111111,0.3684210526315789,0.41025641025641024,0.46875,0.6388888888888888,0.837171052631579,1.049145299145299,1.0,0.0
20100414,MIL,NL,8,CHN,NL,8,6,7,51,CHI11,39565,37,13,3,2,0,6,1,0,0,2,0,10,0,0,1,0,7,4,7,7,0,0,24,12,0,0,2,0,32,12,2,0,1,7,1,1,1,4,0,4,2,0,2,0,8,5,6,6,0,0,27,9,1,0,1,0,grayj002,hawkl001,marmc001,bushd001,wellr001,,0.35135135135135137,0.375,0.38461538461538464,0.4473684210526316,0.5405405405405406,0.53125,0.9251559251559252,0.9786184210526316,1.0,1.0
20100415,MIL,NL,9,CHN,NL,9,8,6,54,CHI11,38026,41,14,2,0,2,8,1,1,2,5,0,8,2,0,0,0,15,4,6,6,0,0,27,10,0,0,0,0,36,10,4,0,3,6,0,0,0,4,0,9,0,0,0,0,7,4,6,6,2,0,27,9,3,0,0,0,narvc001,samaj001,hofft001,suppj001,zambc001,,0.34146341463414637,0.2777777777777778,0.42857142857142855,0.35,0.5365853658536586,0.6388888888888888,0.9651567944250872,0.9888888888888888,0.0,1.0
20100416,HOU,NL,10,CHN,NL,10,2,7,51,CHI11,37291,32,6,0,1,0,2,1,0,1,0,0,8,0,0,1,0,5,4,7,7,0,0,24,12,0,0,2,0,32,11,4,1,1,7,0,1,0,3,0,4,1,0,2,0,5,3,0,0,0,0,27,9,1,0,1,0,silvc001,paulf001,,paulf001,silvc001,,0.1875,0.34375,0.21212121212121213,0.3888888888888889,0.25,0.625,0.46212121212121215,1.0138888888888888,1.0,0.0
