Date,Visting Team,League,Visiting Team Game Number,Home Team,League.1,Home Team Game Number,Visiting Team Score,Home Team Score,Length of Game in Outs,Park ID,Attendance,Visiting Team Line Numbers,Home Team Line Numbers,Visting Team At-Bats,Visting Team Hits,Visting Team Doubles,Visting Team Triples,Visting Team Home-Runs,Visting Team RBI,Visiting Team Sac Hits,Visting Team Sac Flys,Visting Team HBP,Visting Team Walks,Visting Team Int Walks,Visting Team Strikeouts,Visting Team Stolen Bases,Visting Team Caught Stealing,Visting Team G Double Play,Visting Team Awarded First on Interference,Visiting Team LOB,Visting Team Pitchers Used,Visting Team Ind ER,Visting Team Team ER,Visting Team Wild Pitches,Visting Team Balks,Visting Team Put-outs,Visting Team Assists,Visting Team Errors,Visting Team Passed Balls,Visting Team Double Plays,Visting Team Triple Plays,Home Team At-Bats,Home Team Hits,Home Team Doubles,Home Team Triples,Home Team Home-Runs,Home Team RBI,Home Team Sac Hits,Home Team Sac Flys,Home Team HBP,Home Team Walks,Home Team Int Walks,Home Team Strikeouts,Home Team Stolen Bases,Home Team Caught Stealing,Home Team G Double Play,Home Team Awarded First on Interference,Home Team LOB,Home Team Pitchers Used,Home Team Ind ER,Home Team Team ER,Home Team Wild Pitches,Home Team Balks,Home Team Put-outs,Home Team Assists,Home Team Errors,Home Team Passed Balls,Home Team Double Plays,Home Team Triple Plays,Winning Pitcher ID,Losing Pitcher ID,Saving Pitcher ID,Visiting Starter Pitcher ID,Home Starter Pitcher ID,Unnamed: 75,team_game_num,date_game,team_homeORaway,opp_ID,game_result,IP,H,R,ER,UER,BB,SO,HR,HBP,earned_run_avg,batters_faced,pitches,strikes_total,inherited_runners,inherited_score,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GIDP,pitchers_number,umpire_hp,pitchers_number_desc
20100405,FLO,NL,1,NYN,NL,1,1,7,51,NYC20,41245,1000,20000410x,32,6,2,0,0,1,1,0,0,2,0,7,2,0,0,0,7,5,6,6,1,0,24,8,3,0,1,0,32,9,3,1,1,7,0,1,1,4,0,5,2,0,0,0,7,3,1,1,0,0,27,6,1,0,0,0,santj003,johnj009,,johnj009,santj003,,1,Apr 5,@,NYM,"L,1-7",8,9,7,6,1,4,5,1,1,6.75,38,143,88,3,3,2,0,32,3,1,0,0,1,1,0,5,Wally Bell,"J.Johnson (99-40-L), C.Hensley (99), D.Meyer (99), T.Wood (99), R.Pinto (99)"
20100407,FLO,NL,2,NYN,NL,2,7,6,60,NYC20,38863,1020111001,1000002300,45,17,2,0,3,7,2,0,0,3,1,7,0,0,0,0,13,5,6,6,0,1,30,10,1,0,0,0,33,6,1,1,0,4,0,2,1,9,1,6,1,0,0,0,9,7,7,7,1,0,30,8,0,0,0,0,nunel001,takah001,woodt003,nolar001,mainj001,,2,Apr 7,@,NYM,"W,7-6",10,6,6,6,0,9,6,0,1,6,45,201,119,7,3,1,0,33,1,1,1,0,2,0,0,5,Laz Diaz,"R.Nolasco (99-58), R.Pinto (1), J.Veras (99-H), J.Oviedo (99-BW), T.Wood (1-Sv)"
20100408,FLO,NL,3,NYN,NL,3,3,1,54,NYC20,25982,100011000,100000,35,9,4,0,0,3,0,0,0,4,0,3,0,0,1,0,9,3,1,1,0,0,27,9,0,0,0,0,34,7,1,0,0,1,0,0,1,0,0,7,0,0,0,0,7,5,3,3,0,0,27,13,0,0,1,0,roben001,niesj001,nunel001,roben001,niesj001,,3,Apr 8,@,NYM,"W,3-1",9,7,1,1,0,0,7,0,1,4.33,35,139,86,0,0,0,0,34,1,0,0,0,0,0,0,3,Jeff Nelson,"N.Robertson (99-55-W), B.Badenhop (99-H), J.Oviedo (0-Sv)"
20100409,LAN,NL,4,FLO,NL,4,7,3,54,MIA01,40666,403,1002,35,8,5,0,0,5,1,0,0,5,1,5,3,0,0,0,7,3,2,2,1,0,27,13,2,0,0,0,34,7,2,0,0,3,1,0,0,3,1,10,1,0,0,0,8,4,5,5,1,0,27,11,2,0,0,0,kuroh001,volsc001,,kuroh001,volsc001,,4,Apr 9,1,LAD,"L,3-7",9,8,7,5,2,5,5,0,0,4.5,41,146,90,3,3,3,0,35,5,0,1,1,0,1,0,4,Dan Bellino,"C.Volstad (99-54-L), C.Hensley (3), J.Veras (1), R.Pinto (1)"
20100410,LAN,NL,5,FLO,NL,5,6,7,52,MIA01,25308,3000021,100300003,36,12,3,0,1,6,1,1,0,4,0,10,1,1,1,0,9,5,7,7,0,0,25,11,0,0,0,0,34,10,2,0,1,7,0,1,1,4,2,9,0,0,0,0,8,5,6,6,1,0,27,11,2,0,1,0,veraj001,sherg001,,padiv001,johnj009,,5,Apr 10,1,LAD,"W,7-6",9,12,6,6,0,4,10,1,0,4.8,42,163,105,2,2,1,1,36,3,0,0,1,1,1,1,5,Jerry Layne,"J.Johnson (4-43), B.Badenhop (1-H), T.Wood (2-H), D.Meyer (4-BSv), J.Veras (0-W)"
20100411,LAN,NL,6,FLO,NL,6,5,6,51,MIA01,18758,401000,00030120x,35,11,0,1,0,3,2,1,0,2,0,9,1,1,0,0,8,3,5,5,3,0,24,10,1,0,0,0,31,5,1,0,1,6,0,0,0,5,0,13,1,0,0,0,6,3,4,4,0,0,27,8,2,0,0,0,hensc002,weavj002,nunel001,haegc001,sanca004,,6,Apr 11,1,LAD,"W,6-5",9,11,5,4,1,2,9,0,0,4.67,40,140,93,0,0,1,1,35,0,1,0,2,1,1,0,3,Mike Winters,"A.Sanchez (99-44), C.Hensley (1-W), J.Oviedo (2-Sv)"
20100412,CIN,NL,7,FLO,NL,7,6,5,60,MIA01,10119,201200001,130001000,39,11,1,0,3,6,1,0,0,3,0,7,1,1,0,0,7,6,5,5,1,1,30,18,0,0,1,0,42,13,4,0,0,4,0,0,1,3,0,6,0,0,1,0,11,6,6,6,0,0,30,10,1,0,1,0,massn001,badeb001,cordf002,cuetj001,nolar001,,7,Apr 12,1,CIN,"L,5-6",10,11,6,6,0,3,7,3,0,4.78,43,148,97,3,0,1,1,39,1,0,0,1,0,0,0,6,CB Bucknor,"R.Nolasco (4-37), T.Wood (1), D.Meyer (1), C.Hensley (0), J.Oviedo (0), B.Badenhop (1-L)"
20100413,CIN,NL,8,FLO,NL,8,10,8,66,MIA01,10681,3030002002,1004003000,43,13,4,0,2,10,1,0,1,6,1,8,0,0,2,0,8,6,8,8,0,0,33,12,0,0,0,0,44,11,3,0,1,8,0,0,1,3,0,12,0,0,0,0,7,6,7,7,0,0,33,11,1,0,2,0,owinm001,meyed002,cordf002,arrob001,roben001,,8,Apr 13,1,CIN,"L,8-10",11,13,10,7,3,6,8,2,1,4.92,51,179,106,0,0,0,0,43,4,0,1,1,0,1,2,6,Jeff Kellogg,"N.Robertson (4-40), R.Pinto (3), J.Veras (2), J.Oviedo (0), T.Wood (0), D.Meyer (0-L)"
20100414,CIN,NL,9,FLO,NL,9,3,5,51,MIA01,14390,100200,11011100x,32,5,1,0,1,3,0,0,0,4,0,8,2,0,0,0,6,3,5,5,0,0,24,14,1,0,2,0,32,9,2,0,2,5,0,0,1,6,0,5,1,0,2,0,10,3,3,3,0,0,27,9,0,0,0,0,volsc001,bailh001,badeb001,bailh001,volsc001,,9,Apr 14,1,CIN,"W,5-3",9,5,3,3,0,4,8,1,0,4.71,36,145,93,0,0,2,0,32,1,0,0,0,0,0,0,3,Larry Vanover,"C.Volstad (4-53-W), R.Pinto (0-H), B.Badenhop (1-Sv)"
20100415,CIN,NL,10,FLO,NL,10,2,10,51,MIA01,12912,1000001,01214101x,34,7,1,1,0,2,0,0,0,2,0,14,3,0,0,0,7,4,10,10,2,1,24,12,0,0,1,0,38,15,6,0,1,10,0,1,0,5,0,8,0,0,1,0,10,3,2,2,0,0,27,6,1,0,0,0,johnj009,haraa001,,haraa001,johnj009,,10,Apr 15,1,CIN,"W,10-2",9,7,2,2,0,2,14,0,0,4.45,36,147,98,0,0,3,0,34,1,1,0,0,0,0,0,3,Mark Carlson,"J.Johnson (4-67-W), C.Hensley (2), C.Leroux (99)"
