Attendance,Date,Home Starter Pitcher ID,Home Team,Home Team Assists,Home Team At-Bats,Home Team Awarded First on Interference,Home Team Balks,Home Team Caught Stealing,Home Team Double Plays,Home Team Doubles,Home Team Errors,Home Team G Double Play,Home Team Game Number,Home Team HBP,Home Team Hits,Home Team Home-Runs,Home Team Ind ER,Home Team Int Walks,Home Team LOB,Home Team Passed Balls,Home Team Pitchers Used,Home Team Put-outs,Home Team RBI,Home Team Sac Flys,Home Team Sac Hits,Home Team Score,Home Team Stolen Bases,Home Team Strikeouts,Home Team Team ER,Home Team Triple Plays,Home Team Triples,Home Team Walks,Home Team Wild Pitches,League,League.1,Length of Game in Outs,Losing Pitcher ID,Park ID,Saving Pitcher ID,Unnamed: 75,Visiting Starter Pitcher ID,Visiting Team Game Number,Visiting Team LOB,Visiting Team Sac Hits,Visiting Team Score,Visting Team,Visting Team Assists,Visting Team At-Bats,Visting Team Awarded First on Interference,Visting Team Balks,Visting Team Caught Stealing,Visting Team Double Plays,Visting Team Doubles,Visting Team Errors,Visting Team G Double Play,Visting Team HBP,Visting Team Hits,Visting Team Home-Runs,Visting Team Ind ER,Visting Team Int Walks,Visting Team Passed Balls,Visting Team Pitchers Used,Visting Team Put-outs,Visting Team RBI,Visting Team Sac Flys,Visting Team Stolen Bases,Visting Team Strikeouts,Visting Team Team ER,Visting Team Triple Plays,Visting Team Triples,Visting Team Walks,Visting Team Wild Pitches,Winning Pitcher ID,Visiting Team Batting Average,Home Team Batting Average,Visiting Team OBP,Home Team OBP,Visiting Team Slugging,Home Team Slugging,Visiting Team OPS,Home Team OPS,Win,wonPrev
41290,20100405,lannj001,WAS,11,34,0,0,0,0,4,1,2,1,0,9,0,11,0,9,0,6,27,1,0,0,1,1,11,11,0,0,3,0,NL,NL,54,lannj001,WAS11,,,hallr001,1,11,0,11,PHI,9,39,0,0,0,2,0,1,0,0,13,2,1,1,0,4,27,11,1,1,4,1,0,1,9,0,hallr001,0.3333333333333333,0.2647058823529412,0.4489795918367347,0.32432432432432434,0.5384615384615384,0.38235294117647056,0.9874411302982731,0.7066772655007949,0.0,
27240,20100407,marqj001,WAS,10,36,0,0,0,3,2,1,1,2,0,10,1,7,0,11,0,5,27,4,1,0,4,2,9,7,0,1,5,1,NL,NL,54,marqj001,WAS11,madsr001,,hamec001,2,10,0,8,PHI,15,35,0,0,0,1,3,1,3,1,11,1,3,1,0,5,27,6,1,0,6,3,0,0,8,0,hamec001,0.3142857142857143,0.2777777777777778,0.4444444444444444,0.35714285714285715,0.4857142857142857,0.4722222222222222,0.9301587301587302,0.8293650793650793,0.0,0.0
20217,20100408,stamc001,WAS,18,31,0,0,0,0,4,1,0,3,0,9,1,5,1,6,0,5,27,6,1,1,6,1,3,5,0,1,3,0,NL,NL,51,figun001,WAS11,cappm001,,kendk001,3,11,1,5,PHI,11,36,0,0,0,0,6,0,0,1,12,0,6,1,0,5,24,4,1,0,2,6,0,0,4,0,clipt001,0.3333333333333333,0.2903225806451613,0.40476190476190477,0.34285714285714286,0.5,0.5806451612903226,0.9047619047619048,0.9235023041474655,1.0,0.0
28055,20100409,pelfm001,NYN,11,35,0,0,0,0,1,0,1,4,0,12,4,2,0,9,0,4,27,8,0,0,8,0,6,2,0,0,6,0,NL,NL,51,batim001,NYC20,,,mockg001,4,7,0,2,WAS,7,31,0,0,0,1,1,0,0,0,4,0,8,0,0,5,24,2,0,0,6,8,0,1,5,0,pelfm001,0.12903225806451613,0.34285714285714286,0.25,0.43902439024390244,0.22580645161290322,0.7142857142857143,0.47580645161290325,1.1533101045296168,0.0,1.0
33044,20100410,pereo002,NYN,12,33,0,0,0,3,1,2,1,5,1,8,0,4,0,12,0,4,27,3,1,2,3,0,10,4,0,0,5,2,NL,NL,54,pereo002,NYC20,cappm001,,lannj001,5,6,0,4,WAS,8,31,0,0,0,1,0,2,2,0,5,0,3,1,0,3,27,4,0,0,8,3,0,1,6,0,lannj001,0.16129032258064516,0.24242424242424243,0.2972972972972973,0.35,0.22580645161290322,0.2727272727272727,0.5231037489102005,0.6227272727272727,1.0,0.0
33672,20100411,santj003,NYN,7,33,0,0,0,1,2,0,1,6,0,7,1,5,0,8,0,4,27,2,0,0,2,1,3,5,0,1,4,0,NL,NL,54,santj003,NYC20,cappm001,,hernl003,6,7,1,5,WAS,7,32,0,0,0,1,1,1,0,1,7,1,2,0,0,4,27,5,0,0,6,2,0,1,5,0,hernl003,0.21875,0.21212121212121213,0.34210526315789475,0.2972972972972973,0.40625,0.42424242424242425,0.7483552631578947,0.7215397215397216,1.0,1.0
44791,20100412,hamec001,PHI,11,32,0,0,0,0,2,1,1,7,0,8,1,4,1,4,0,5,27,7,0,0,7,0,3,4,0,0,3,0,NL,NL,51,marqj001,PHI13,madsr001,,marqj001,7,6,0,4,WAS,10,34,0,0,0,1,3,1,0,1,6,1,6,0,0,5,24,4,0,0,9,6,0,0,2,0,hamec001,0.17647058823529413,0.25,0.24324324324324326,0.3142857142857143,0.35294117647058826,0.40625,0.5961844197138315,0.7205357142857143,0.0,1.0
45438,20100414,kendk001,PHI,12,36,0,0,0,1,3,0,0,8,0,14,3,7,0,5,0,5,27,14,2,0,14,0,4,7,0,1,5,0,NL,NL,51,bergj001,PHI13,,,stamc001,8,8,1,7,WAS,7,34,0,0,0,0,4,0,1,1,10,0,14,0,0,7,24,7,0,3,5,14,0,0,6,0,figun001,0.29411764705882354,0.3888888888888889,0.4146341463414634,0.4418604651162791,0.4117647058823529,0.7777777777777778,0.8263988522238164,1.2196382428940569,0.0,0.0
44157,20100415,happj001,PHI,8,35,0,0,0,2,2,1,0,9,0,9,2,6,1,9,0,5,27,5,0,1,5,0,7,6,0,0,5,0,NL,NL,54,baezd001,PHI13,cappm001,,olses001,9,9,1,7,WAS,11,33,0,0,1,0,1,0,2,0,9,2,5,0,0,4,27,7,0,4,6,5,0,0,9,0,clipt001,0.2727272727272727,0.2571428571428571,0.42857142857142855,0.35,0.48484848484848486,0.4857142857142857,0.9134199134199135,0.8357142857142856,1.0,0.0
17234,20100416,lannj001,WAS,14,29,0,0,1,1,0,1,3,10,2,10,1,2,0,7,0,4,27,5,0,1,5,2,6,2,0,1,4,0,NL,NL,51,hawkl001,WAS11,cappm001,,gally001,10,8,1,3,MIL,12,33,0,0,0,3,1,0,0,0,8,1,5,0,0,4,24,3,1,3,6,5,0,0,3,1,brunb001,0.24242424242424243,0.3448275862068966,0.2972972972972973,0.45714285714285713,0.36363636363636365,0.5172413793103449,0.6609336609336609,0.974384236453202,1.0,1.0
